Specimen	Cluster 1	Cluster 2	Cluster 3
PO14	0.001333333	0.997	0.001666667
PO15	0.005	0.993333333	0.002333333
PO16	0.002333333	0.995333333	0.001666667
PO17	0.002	0.996333333	0.001666667
PO18	0.833	0.141666667	0.025333333
PO19	0.001	0.996666667	0.002333333
PO20	0.008	0.988333333	0.003333333
PO21	0.013333333	0.984	0.003333333
PO22	0.006	0.990333333	0.003333333
PO23	0.008666667	0.978333333	0.013
PO24	0.008333333	0.984666667	0.006666667
PO25	0.010333333	0.987	0.002666667
PO26	0.028	0.966	0.005333333
PO27	0.016333333	0.979333333	0.004333333
PO28	0.006	0.928	0.065666667
PO29	0.010333333	0.966	0.023666667
PO30	0.016666667	0.964	0.018666667
PO31	0.001	0.998	0.000666667
JUK1	0.003333333	0.005	0.991666667
JUK2	0.007666667	0.004666667	0.987666667
JUK3	0.006	0.002	0.993
JUK4	0.001333333	0.994333333	0.004333333
JUK5	0.002333333	0.001666667	0.995666667
JUK6	0.983333333	0.003666667	0.013
JUK7	0.002333333	0.003	0.994
JUK8	0.979666667	0.005666667	0.014666667
JUK9	0.005666667	0.008	0.986666667
JUK10	0.003	0.032	0.965666667
JUK11	0.003333333	0.006	0.990666667
JUK12	0.027	0.004333333	0.968666667
JUK13	0.003333333	0.003	0.993666667
JUK14	0.008666667	0.058666667	0.932666667
JUK15	0.007333333	0.115666667	0.876666667
JUK16	0.002333333	0.005	0.992666667
JUK17	0.041333333	0.032	0.926666667
JUK18	0.002333333	0.001	0.997666667
JUK19	0.008333333	0.002333333	0.988666667
JUK20	0.015333333	0.173	0.811333333
JUK21	0.004333333	0.016666667	0.979
JUK22	0.075333333	0.002	0.922666667
JUK23	0.008333333	0.006666667	0.985
JUK24	0.001333333	0.000333333	0.997666667
JUK25	0.006333333	0.046333333	0.947333333
JUK26	0.007666667	0.001	0.991333333
JUK27	0.025	0.13	0.844666667
JUK28	0.005333333	0.004	0.990666667
JUK29	0.001	0.998	0.001666667
JUK30	0.006	0.017666667	0.976333333
JUK31	0.002666667	0.002333333	0.994333333
JUK32	0.004	0.002	0.993666667
