*sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
GE011215_24	GE011215_24_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_24_PE.1.fq.gz					
GE011215_28	GE011215_28	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_28.fq.gz					
GE011215_29	GE011215_29_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_29_PE.1.fq.gz					
GE012315_01	GE012315_01_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_01_PE.1.fq.gz					
GE012315_02	GE012315_02	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_02.fq.gz					
GE012315_03	GE012315_03_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_03_PE.1.fq.gz					
GE012315_06	GE012315_06_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_06_PE.1.fq.gz					
GE012315_08	GE012315_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_08_PE.1.fq.gz					
GE012315_12	GE012315_12	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_12.fq.gz					
GE012315_17	GE012315_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_17_PE.1.fq.gz					
GE012315_18	GE012315_18	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_18.fq.gz					
GE012315_20	GE012315_20_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_20_PE.1.fq.gz					
GE012315_21	GE012315_21	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_21.fq.gz					
GE012315_22	GE012315_22_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE012315_22_PE.1.fq.gz					
GE020414_03	GE020414_02	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_02.fq.gz					
GE020414_04	GE020414_03	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_03.fq.gz					
GE020414_05	GE020414_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_04.fq.gz					
GE020414_06	GE020414_05	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_05.fq.gz					
GE020414_07	GE020414_06	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_06.fq.gz					
GE020414_08	GE020414_07	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_07.fq.gz					
GE020414_09	GE020414_08_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_08_300.fq.gz					
GE020414_10	GE020414_09_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_09_300.fq.gz					
GE020414_11	GE020414_10_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_10_2.fq.gz					
